rank,image_path,name,category,origin,medium
347,img/6_animals/horse/FS-7445_48.png,Figure of pack horse bearing Buddhist scriptures,horse,x,"Earthenware with white slip under clear lead-silicate glaze, enamel over glaze"
348,img/6_animals/lions/FS-0880_Singer1368.png,Lion,lions,x,Gilt bronze
349,img/6_animals/lions/FS-5026_10.png,The Bodhisattva Wenshu (Manjusri),lions,x,Ink and color on silk
350,img/6_animals/lions/FS-5128_05.png,Seated Lion,lions,x,"Bronze, gilding"
351,img/6_animals/lions/FS-5128_06.png,Seated Lion,lions,x,"Bronze, gilding"
352,img/6_animals/lions/FS-5674_02.png,Luohan and lion,lions,x,Ink and color on paper
353,img/6_animals/lions/FS-5676_10.png,Manjusri and his lion,lions,x,Ink and color on paper
354,img/6_animals/lions/FS-5711_10.png,"Lohan under a canopy; a lion, and two attendants",lions,x,Ink and color on silk
355,img/6_animals/lions/FS-5716_02.png,The bodhisattva Gokei Monju,lions,Japan,Color and gold on silk panel
356,img/6_animals/lions/FS-5717_12.png,"Lohan, seated upon a lion",lions,x,Ink and color on paper
357,img/6_animals/lions/FS-5771_13.png,Manjushri Seated on a Lion,lions,x,Ink and color on paper
358,img/6_animals/lions/FS-5781_12.png,Manjusri,lions,x,Hanging scroll mounted on panel; ink and color on paper
359,img/6_animals/lions/FS-6004_03.png,Buddhist stele with dual images of the bodhisattva Maitreya,lions,"Quyang, Hebei province, China",Marble with traces of pigment
360,img/6_animals/lions/FS-6201_04.png,Buddhist stele,lions,"Likely from the Longmen grottoes, Luoyang, Henan province, China",Limestone with traces of pigment
361,img/6_animals/lions/FS-6273_09.png,Two Luohan and a lion,lions,x,Ink and color on silk
362,img/6_animals/lions/FS-6333_11.png,Gautama buddha shrine,lions,Tibet,Terracotta with gold lacquer and paint
363,img/6_animals/lions/FS-6544_08.png,Three lions and a Buddhist disciple,lions,x,Ink on silk
364,img/6_animals/lions/FS-6893_01.png,Buddhist Monk (He shang),lions,x,Jade
365,img/6_animals/lions/FS-7258_15.png,The Bodhisattva Monju,lions,Japan,"Ink, color, gold, and silver on silk"
366,img/6_animals/lions/FS-7363_11.png,Figure of a guardian lion,lions,x,Porcelain with thin clear glaze and traces of brown pigment or enamel
367,img/6_animals/lions/FS-7423_33.png,"Small soapstone tablet, with pierced relief of Manjusri on lion",lions,China,Stone
368,img/6_animals/lions/FS-7444_07.png,"A Buddha, two lions, and four attendants",lions,China,Ink and color on silk
369,img/6_animals/lions/FS-7603_04.png,Elephant,lions,x,"Bronze, gilding"
370,img/6_animals/lions/FS-7607_13.png,Stone screen with relief of Buddha entering Nirvana,lions,China,Stone
371,img/6_animals/lions/FS-7755_26.png,Bodhisattva Avalokiteshvara (Guanyin),lions,"probably Hebei province, China",Marble with ink and pigment
372,img/6_animals/lions/FS-7847_55.png,Buddha and Bodhisattva,lions,China,Stone
373,img/6_animals/lions/FS-7878_05.png,"Arhat (Sonja), one of a set of sixteen",lions,x,Ink and color on silk
374,img/6_animals/lions/FS-7995_02.png,Buddhist stele,lions,China,Stone
375,img/6_animals/lions/FS-8181_02.png,Stele with Bodhisattva Maitreya (Mile); reverse with Buddha Vairochana (Pilushena),lions,"Probably Shaanxi province, China",Marble with traces of pigment
376,img/6_animals/lions/FS-8380_01.png,Historical Buddha Shakyamuni with the bodhisattvas Fugen (Samantabhadra) and Monju (Manjushri),lions,Japan,Color and gold on silk
377,img/6_animals/lions/FS-8535_43.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",lions,China,Stone
378,img/6_animals/lions/FS-8535_53.png,Standing bodhisattva with attendants,lions,China,Stone
379,img/6_animals/lions/FS-8541_03.png,Seated statue on lotus pedestal resting upon crouching lions,lions,China,Stone
380,img/6_animals/lions/FS-F1935.11_001.png,Ksitigarbha Bodhisattva,lions,x,"Ink, color, and gold on silk"
381,img/6_animals/lions/FS-rls_0103.png,Manjursi,lions,China,Bronze
382,img/6_animals/monkey/FS-5627_08.png,Luohan and Attendant,monkey,x,Hanging scroll; ink and color on silk
383,img/6_animals/monkey/FS-5751_07.png,Luohan with a White Monkey,monkey,x,Ink and color on silk panel
384,img/6_animals/monkey/FS-7310_25.png,"The Buddha distributes honey, from a Prajnaparamita manuscript",monkey,"West Bengal state, India",Opaque watercolor and ink on palm leaf
385,img/6_animals/sheep/FS-5627_08.png,Luohan and Attendant,sheep,x,Hanging scroll; ink and color on silk
386,img/6_animals/turtle/FS-7606_22.png,Possibly Bodhisattva Avalokiteshvara (Guanyin) with attendants,turtle,China,Bronze with gilding
