rank,image_path,name,category,origin,medium
206,img/4_mudras/FS-7490_15.png,Eleven-Headed Kannon,varada,Japan,Color and gold on silk
207,img/4_mudras/FS-7512_05.png,Statuette of Buddha,bhumisparsha,China,Bronze
208,img/4_mudras/FS-7517_07.png,Bronze figure of the Buddha,dhyana,China,Bronze
209,img/4_mudras/FS-7550_24.png,The Buddhas Duobao (Sanskrit Prabhutaratna) and Sakyamuni,abhaya,China,Bronze
210,img/4_mudras/FS-7606_01.png,Buddhist tablet on rectangular pedestal,dhyana,China,Stone
211,img/4_mudras/FS-7606_04.png,Buddhist tablet,bhumisparsha,China,Stone
212,img/4_mudras/FS-7606_09.png,Statuette: Buddhist trinity,abhaya,China,Bronze
213,img/4_mudras/FS-7606_22.png,Possibly Bodhisattva Avalokiteshvara (Guanyin) with attendants,abhaya,China,Bronze with gilding
214,img/4_mudras/FS-7606_26.png,Bodhisattva Avalokiteshvara (Guanyin),abhaya,China,Bronze with gilding
215,img/4_mudras/FS-7606_28.png,Standing Buddha,abhaya,China,Bronze with gilding
216,img/4_mudras/FS-7607_04.png,Buddhist tablet in brick form,abhaya,China,Stone
217,img/4_mudras/FS-7607_09.png,Standing Bodhisattva,anjali,China,Bronze with gilding
218,img/4_mudras/FS-7607_11.png,Standing Bodhisattva with attendants,abhaya,China,Bronze with gilding
219,img/4_mudras/FS-7607_24_abhaya.png,Standing Maitreya Buddha,abhaya,China,Bronze
220,img/4_mudras/FS-7607_24_varada.png,Standing Maitreya Buddha,varada,China,Bronze
221,img/4_mudras/FS-7608_05.png,Possibly Bodhisattva Avalokiteshvara (Guanyin),abhaya,China,Bronze with gilding
222,img/4_mudras/FS-7623_34.png,Standing Buddha,abhaya,China,Bronze with gilding
223,img/4_mudras/FS-7630_07_abhaya.png,Buddhist statuette,abhaya,China,Bronze
224,img/4_mudras/FS-7630_07_varada.png,Buddhist statuette,varada,China,Bronze
225,img/4_mudras/FS-7630_08.png,Buddhist statuette,abhaya,China,Bronze
226,img/4_mudras/FS-7631_19.png,Statuette of a monk,anjali,China,Bronze
227,img/4_mudras/FS-7734_08_anjali.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),anjali,China,Stone
228,img/4_mudras/FS-7734_08_abhaya.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),abhaya,China,Stone
229,img/4_mudras/FS-7734_08_varada.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),varada,China,Stone
230,img/4_mudras/FS-7734_11.png,tanding Buddha with bodhisattvas (on one side) and Seated bodhisattva (on other side),anjali,China,Stone with traces of pigment
231,img/4_mudras/FS-7754_27.png,Seated Buddha (Shakyamuni) with two disciples,bhumisparsha,China,Stone
232,img/4_mudras/FS-7754_29.png,Seated Buddha with two bodhisattvas,dhyana,China,Stone
233,img/4_mudras/FS-7754_35.png,Seated Buddha (Shakyamuni),bhumisparsha,China,Stone
234,img/4_mudras/FS-7754_37.png,Buddha (fragment),abhaya,China,Stone
235,img/4_mudras/FS-7754_38.png,Standing Buddha (Shakyamuni) with lions,abhaya,China,Stone with traces of pigment
236,img/4_mudras/FS-7755_11.png,Seated Buddha (Shakyamuni) with standing bodhisattvas,anjali,China,Stone
237,img/4_mudras/FS-7755_18_abhaya.png,"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras",abhaya,China,Stone with pigment
238,img/4_mudras/FS-7755_18_varada.png,"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras",varada,China,Stone with pigment
239,img/4_mudras/FS-7755_23.png,Seated Buddha with figures,abhaya,China,Marble
240,img/4_mudras/FS-7755_24_abhaya.png,"Seated Buddha with bodhisattvas, lions, and figures",abhaya,China,Stone
241,img/4_mudras/FS-7755_24_varada.png,"Seated Buddha with bodhisattvas, lions, and figures",varada,China,Stone
242,img/4_mudras/FS-7756_01_abhaya.png,Standing Buddha,abhaya,China,Stone
243,img/4_mudras/FS-7756_01_varada.png,Standing Buddha,varada,China,Stone
244,img/4_mudras/FS-7756_15.png,Standing Buddha (fragment),varada,China,Marble
245,img/4_mudras/FS-7756_29.png,Buddhist trinity,abhaya,China,Stone
246,img/4_mudras/FS-7756_37.png,Buddha with a bodhisattva (fragment),varada,China,Stone
247,img/4_mudras/FS-7757_24.png,Buddhist stele (a) with an attached rubbing (b),abhaya,China,Gray stone; ink on paper
248,img/4_mudras/FS-7775_02.png,Figurine,anjali,Japan,Bronze
249,img/4_mudras/FS-7846_05.png,Buddha or Bodhisattva,dhyana,"Tibet,China",Gilt bronze
250,img/4_mudras/FS-7970_12.png,Figure of a bodhisattva,anjali,Japan,Bronze
251,img/4_mudras/FS-7995_02.png,Buddhist stele,varada,China,Stone
252,img/4_mudras/FS-7995_12_abhaya.png,The Buddha Gautama Sakyamni (Shih-chia) and attendant divinities,abhaya,China,Stone
253,img/4_mudras/FS-7995_12_varada.png,The Buddha Gautama Sakyamni (Shih-chia) and attendant divinities,varada,China,Stone
254,img/4_mudras/FS-7995_21.png,Seated figure of the Buddha Sakyamuni in high relief,abhaya,China,Stone
255,img/4_mudras/FS-7996_05_abhaya.png,Standing Buddha,abhaya,Japan,"Wood, gold leaf, lacquer and textile"
256,img/4_mudras/FS-7996_05_varada.png,Standing Buddha,varada,Japan,"Wood, gold leaf, lacquer and textile"
257,img/4_mudras/FS-8047_19.png,Bodhisattva,varada,Japan,Wood
258,img/4_mudras/FS-8047_22.png,Bodhisattva,vitarka,Japan,Wood
259,img/4_mudras/FS-8049_03.png,Dai Nichi Nyorai,vajra,Japan,Wood and gold
260,img/4_mudras/FS-8086_19.png,Buddhist stele,varada,China,Stone
261,img/4_mudras/FS-8143_15.png,The Buddha Addressing Yamaraja at Kusinagara,undefined,unknown,"Ink, color, and gold on paper"
262,img/4_mudras/FS-8151_08.png,Tapestry: a Bodhisattva,vitarka,China,Hanging scroll; color on silk panel
263,img/4_mudras/FS-8151_11.png,Sakyamuni Seated Upon Three Demon-like Creatures,vitarka,China,Ink and color on silk
264,img/4_mudras/FS-8168_18.png,Crowned Buddha,bhumisparsha,India,Stone
265,img/4_mudras/FS-8222_12.png,Otowa ware standing Amida Nyorai with inscribed pedestal,vitarka,"Kyoto,Japan",Transparent stoneware with iron glazes; gilding over iron slip; enamels over transparent glaze; iron pigment under glaze.
266,img/4_mudras/FS-8380_07.png,The Bodhisattva Fugen and Attendants,anjali,Japan,"Ink, color, and gold on silk"
267,img/4_mudras/FS-8506_05_abhaya.png,"Buddhist memorial stele, decorated on the front with a flat niche in which the Sakyamuni Buddha is seated on a low pedestal",abhaya,China,Stone
268,img/4_mudras/FS-8506_05_bhumisparsha.png,"Buddhist memorial stele, decorated on the front with a flat niche in which the Sakyamuni Buddha is seated on a low pedestal",bhumisparsha,China,Stone
269,img/4_mudras/FS-8506_06_abhaya.png,Buddhist memorial stele,abhaya,China,Stone
270,img/4_mudras/FS-8506_06_varada.png,Buddhist memorial stele,varada,China,Stone
271,img/4_mudras/FS-8506_20.png,Stele with Buddha seated on a Pedestal,abhaya,China,Hard grey limestone
272,img/4_mudras/FS-8535_11.png,Buddhist tablet: standing figure in high relief; right hand missing,varada,China,Stone
273,img/4_mudras/FS-8535_28.png,"Buddhist tablet: central figure seated cross-legged; elaborage background, perforated and bearing figures in relief",anjali,China,Stone
274,img/4_mudras/FS-8535_41.png,"Buddhist tablet: rectangular base and rounded top; on obverse, figures in high relief, including central seated figure with two supporters on either hand, and two angels above; inscriptions",bhumisparsha,China,Stone
275,img/4_mudras/FS-8535_42.png,Seated Buddhist figure: high octagonal pedestal and perforated background,abhaya,China,Stone
276,img/4_mudras/FS-8535_43_abhaya.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",abhaya,China,Stone
277,img/4_mudras/FS-8535_43_varada.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",varada,China,Stone
278,img/4_mudras/FS-8535_43_anjali.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",anjali,China,Stone
279,img/4_mudras/FS-8535_53.png,Standing bodhisattva with attendants,anjali,China,Stone
280,img/4_mudras/FS-8536_13_abhaya.png,Buddhist tablet: the Buddha Gautama Sakyamuni (Shih-chia) and attendant divinities,abhaya,China,Stone
281,img/4_mudras/FS-8536_13_varada.png,Buddhist tablet: the Buddha Gautama Sakyamuni (Shih-chia) and attendant divinities,varada,China,Stone
282,img/4_mudras/FS-8540_19.png,Gautama Buddha,bhumisparsha,"Tibet,China",Gilded copper with pigment
283,img/4_mudras/FS-8541_03.png,Seated statue on lotus pedestal resting upon crouching lions,dhyana,China,Stone
284,img/4_mudras/FS-F1905.220_001_bhumisparsha.png,Tsong-kha-pa and scenes from his life,bhumisparsha,"Tibet,China",Opaque watercolor on cloth
285,img/4_mudras/FS-F1905.220_001_dharmachakra.png,Tsong-kha-pa and scenes from his life,dharmachakra,"Tibet,China",Opaque watercolor on cloth
286,img/4_mudras/FS-F1905.220_001_vitarka.png,Tsong-kha-pa and scenes from his life,vitarka,"Tibet,China",Opaque watercolor on cloth
287,img/4_mudras/FS-F1906.269_001-000002.png,Buddha Amitabha (Amita) and the Eight Great Bodhisattvas,dharmachakra,Korea,"Ink, color, and gold on silk"
288,img/4_mudras/FS-F1909.345a-h_001.png,Bodhisattva,undefined,Japan,"Wood with lacquer, gold, copper, and crystal"
289,img/4_mudras/FS-F1921.2_001.png,Western Paradise of the Buddha Amitabha,abhaya,"Hebei,China",Limestone with traces of pigment
290,img/4_mudras/FS-F1929.84_001.png,Queen Sembiyan Mahadevi as the Goddess Parvati,kataka,"Tamil Nadu state, India",Bronze
291,img/4_mudras/FS-F1962.21a-c_001_abhaya.png,Bosatsu,abhaya,Japan,Wood with gilding
292,img/4_mudras/FS-F1963.6_001.png,The Bodhisattva Fugen (Fugen Bosatsu),anjali,Japan,"Ink, color, gold, and silver on silk"
293,img/4_mudras/FS-F1965.19a-h_001.png,Jizo,varada,Japan,Wood with applied gold leaf
294,img/4_mudras/FS-F1970.27_001-000002.png,"Kongara-doji, attendant to the Buddhist Deity, Fudo Myo-o (one of a pair with F1970.28)",anjali,Japan,"Ink, color, and gold on silk"
295,img/4_mudras/FS-F1998.1_001.png,Taizokai Mandala,dhyana,Japan,Color on silk
296,img/4_mudras/FS-F2002.9a-f_001.png,Amida (Amitabha),vitarka,Japan,Wood with gold leaf
297,img/4_mudras/FS-FSC-B-15_1-000001.png,"Figurine of seated Buddha, head and base missing",bhumisparsha,Thailand,Bronze
298,img/4_mudras/FS-FSC-B-16_1-000001.png,"Figurine of seated Buddha, head and base missing (smaller one of pair)",bhumisparsha,Thailand,Bronze
299,img/4_mudras/FS-FSC-B-490_1-000001.png,Standing Buddha (modern),abhaya,unknown,Bronze
300,img/4_mudras/FS-FSC-M-67_1-000001.png,Crucifix with Seated Buddha,anjali,Japan,Brass
301,img/4_mudras/FS-FSC-M-68_1-000001.png,Crucifix with Seated Buddha,anjali,Japan,Brass
302,img/4_mudras/FS-rls_0545.png,Bodhisattva,dhyana,"Jingdezhen,China",Porcelain with clear glaze
303,img/4_mudras/FS-rls_0859.png,"Buddhist figure, probably Ananda",anjali,China,Gilt bronze
